Risc_1,Signal_1,Risc_2,Signal_2,Risc_3,Signal_3,Risc_4,Signal_4,Risc_5,Signal_5,Risc_6,Signal_6,Risc_7,Signal_7,Risc_8,Signal_8,Rh,Data,no2,o3,co
122.90676056338,54874860.6760563,124.678732394366,97022203.0140845,129.216478873239,158980911.278873,128.19676056338,153530064.349296,129.784647887324,468417409.126761,126.988169014085,469715870.647887,138.131549295775,146030931.188732,105.665211267605,82425733.4197183,17.6495774647888,16-Oct-2019 17,55,23,0.6
122.916033755275,25665688.9029536,124.656399437412,2073713.7257384,129.261462728552,102697274.970464,128.23023909986,95104193.4627285,129.809563994374,184528854.053446,127.0194092827,198922686.874824,138.123347398031,118954963.848101,105.648382559775,70933812.9057665,17.6066104078762,16-Oct-2019 18,60,20,0.6
122.940928270042,16014743.535865,124.684669479606,463791.379746835,129.296905766526,83490396.1744023,128.268213783404,77067029.2151899,129.83670886076,123207739.226442,127.049367088607,133998441.7609,138.148382559775,113841014.40225,105.657243319268,69210991.0098453,17.6849507735583,16-Oct-2019 19,70,3,0.6
122.871830985915,5881814.03521127,124.640563380281,185432.709859155,129.325211267606,49506331.4366197,128.290281690141,41508954.9464789,129.838873239437,18687358.7267606,127.055915492957,26277491.2985916,138.138309859155,101196888.630986,105.660563380281,64653589.3352113,17.4056338028169,16-Oct-2019 20,54,3,0.6
122.852039381153,4371149.85935302,124.626300984529,166474.433192686,129.319549929676,38077849.1926864,128.288607594937,32812131.7637131,129.832208157525,16857327.2067511,127.050773558369,25013830.7623066,138.124613220816,102679953.800281,105.652039381153,65821387.5443038,17.3839662447257,16-Oct-2019 21,45,4,0.6
122.893521126761,3630930.6084507,124.641971830986,159641.771830986,129.340704225352,32838382.5887324,128.305915492958,29066211.4169014,129.864647887324,16802345.6507042,127.072816901408,25087248.6140845,138.141971830986,104167824.394366,105.68338028169,66795281.8985915,16.8932394366198,16-Oct-2019 22,50,3,0.6
122.880281690141,3092153.36338028,124.642112676056,152722.947887324,129.34014084507,27034527.028169,128.307464788732,24299840.9380282,129.865633802817,15562009.9802817,127.07661971831,23785729.3521127,138.134929577465,101094871.447887,105.678309859155,64815076.0056338,16.6902816901408,16-Oct-2019 23,41,2,0.6
122.881856540085,2728497.13080169,124.647398030942,145081.945147679,129.350773558369,21205133.1842475,128.314767932489,19914853.2320675,129.872151898734,14819529.5021097,127.09423347398,22892942.7313643,138.148382559775,100793450.587904,105.67805907173,64764952.6357243,16.5209563994374,17-Oct-2019 00,31,3,0.5
122.911408450705,2508068.48450704,124.675492957747,141269.41971831,129.379154929578,16614464.2028169,128.348450704225,16689263.6309859,129.917323943662,14794414.9521127,127.119577464788,22769943.9295775,138.183661971831,105287917.284507,105.710563380281,67740512.4056338,16.0954929577465,17-Oct-2019 01,24,3,0.5
122.8805907173,2409066.80731364,124.640506329113,142068.617440225,129.346835443038,13986974.6835443,128.311111111112,14793158.978903,129.882137834037,15724761.954993,127.090717299578,24171432.0506329,138.162306610408,111043399.80872,105.676511954993,70823777.3445851,16.212517580872,17-Oct-2019 02,23,2,0.5
122.710407876231,2479209.04922644,124.461462728551,151738.46835443,129.189310829817,12374156.9367089,128.178481012658,13818546.281294,129.763994374121,17362229.1898734,126.954711673699,26857316.1828411,138.015752461321,116192994.644163,105.610126582278,72686065.5302391,18.3413502109705,17-Oct-2019 03,20,2,0.5
122.758732394366,2384735.94084507,124.51352112676,147354.957746479,129.224084507042,9419807.71830986,128.201690140845,11184924.715493,129.797746478873,16609933.6591549,126.980281690141,25732136.2084507,138.044788732395,113875481.059155,105.615633802817,72048493.6676056,17.7504225352113,17-Oct-2019 04,18,3,0.5
122.739662447257,2336158.395218,124.508720112518,143452.905766526,129.219831223629,8365704,128.201265822785,10190060.6357243,129.795358649789,17096311.2517581,126.978481012658,26170630.5935302,138.027285513361,97635477.4908579,105.619690576653,62104459.814346,17.6787623066104,17-Oct-2019 05,18,2,0.5
